subclase_id,label_producto,venta_mensual,precio_cat,año,precio_mensual,volumen_mensual,venta_costo_mensual,year,costo_prov,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,costo_venta_ratio,label_tienda_7.0
1153.0,1.0,7127.49,89.9,2016.0,36.1801522842639,197.0,14184.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9900413750142056,False
1153.0,1.0,7835.1,29.9,2016.0,36.6126168224299,214.0,15408.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9665352069533253,False
1153.0,1.0,3570.59,49.9,2016.0,36.810206185567,97.0,6984.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.955979263931171,False
1153.0,1.0,6913.87,29.9,2016.0,37.5753804347826,184.0,13248.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9161482642861378,False
1153.0,1.0,9834.45,14.9,2016.0,37.9708494208494,259.0,7122.5,6.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7242397897187945,False
1153.0,1.0,1358.55,39.9,2016.0,39.9573529411764,34.0,1632.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2012807772993266,False
1153.0,1.0,1291.24,39.9,2016.0,46.1157142857142,28.0,1344.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0408599485765622,False
1153.0,1.0,189.4,49.9,2016.0,47.35,4.0,192.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.013727560718057,False
1153.0,1.0,49836.54,69.9,2016.0,48.9553438113948,1018.0,33594.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.674083714479376,False
1153.0,1.0,2403.05,39.9,2016.0,49.0418367346938,49.0,1666.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6932856161960841,False
1153.0,1.0,2650.16,39.9,2016.0,49.077037037037,54.0,1836.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6927883599480786,False
1153.0,1.0,2559.55,39.9,2016.0,49.2221153846153,52.0,1768.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6907464202691879,False
1153.0,1.0,4658.01,39.9,2016.0,49.5532978723404,94.0,3196.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6861299138473296,False
1153.0,1.0,2332.44,39.9,2016.0,49.6263829787234,47.0,1598.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6851194457306512,False
1153.0,1.0,3394.5,39.9,2016.0,49.9191176470588,68.0,2312.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6811017822948888,False
1153.0,1.0,1247.98,39.9,2016.0,49.9192,25.0,850.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6811006586644016,False
1153.0,1.0,1948.25,39.9,2016.0,49.9551282051282,39.0,1326.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6806108045682022,False
1153.0,1.0,2754.08,39.9,2016.0,50.0741818181818,55.0,1870.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6789926218555743,False
1153.0,1.0,3108.71,39.9,2016.0,50.1404838709677,62.0,2108.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6780947724297216,False
1153.0,1.0,5628.67,39.9,2016.0,50.2559821428571,112.0,3808.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6765363753781977,False
1153.0,1.0,6584.06,39.9,2016.0,50.26,131.0,4454.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6764822920811778,False
1153.0,1.0,6184.3,39.9,2016.0,50.2788617886178,123.0,4182.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6762285141406464,False
1153.0,1.0,6688.16,39.9,2016.0,50.286917293233,133.0,4522.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6761201885122365,False
1153.0,1.0,7095.26,39.9,2016.0,50.3209929078014,141.0,4794.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6756623435927648,False
1153.0,1.0,5488.79,39.9,2016.0,50.355871559633,109.0,3706.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6751943506674513,False
1153.0,1.0,3580.59,39.9,2016.0,50.4308450704225,71.0,2414.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6741905663591754,False
1153.0,1.0,6102.14,39.9,2016.0,50.430909090909,121.0,4114.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6741897104950066,False
1153.0,1.0,3131.17,59.9,2016.0,50.5027419354838,62.0,2108.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67323077316147,False
1153.0,1.0,7121.11,39.9,2016.0,50.5043262411347,141.0,4794.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6732096541129122,False
1153.0,1.0,4344.68,39.9,2016.0,50.5195348837209,86.0,2924.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6730069878564129,False
1153.0,1.0,5412.8,39.9,2016.0,50.5869158878504,107.0,3638.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.672110552763819,False
