venta_mensual,precio_cat,año,precio_mensual,volumen_mensual,venta_costo_mensual,year,costo_prov,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,costo_venta_ratio,margen_ganancia,elasticidad_precio,tasa_crecimiento_ventas,label_tienda
-1.140624537653416,1.0,2016.0,-1.966093803571632,-1.1490414834886047,51.0,6.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.085308056872039,-11.085308056872039,0.23696682464454977,,False
-1.140624537653416,0.0,2016.0,-1.966093803571632,-1.1490414834886047,58.0,6.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.744075829383887,-12.744075829383887,0.23696682464454977,0.0,False
-1.140624537653416,0.0,2016.0,-1.966093803571632,-1.1490414834886047,58.0,6.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.744075829383887,-12.744075829383887,0.23696682464454977,0.0,False
-1.1405451242939886,0.0,2016.0,-1.962867912389103,-1.1490414834886047,65.0,6.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.081206496519723,-14.081206496519723,0.2320185614849188,0.021327014218009532,False
-0.7925661476021921,0.01,2016.0,-1.8488032726585795,0.9450707652712843,2856.0,6.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.79595478881618,-5.79595478881618,7.462224866151106,96.50580046403714,False
-1.1368235660889168,4.9,2016.0,-1.8123661409775975,-1.1490414834886047,83.0,6.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.730363423212193,-8.730363423212193,0.1172332942555686,-0.9797025580011898,False
-1.1293133055163689,4.9,2016.0,-1.8123661409775975,-1.086043646358875,144.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.440797186400939,-7.440797186400938,0.2344665885111372,1.0,False
-1.1368147519878027,0.0,2016.0,-1.8120112820987822,-1.1490414834886047,30.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.5128805620608903,-2.5128805620608903,0.117096018735363,-0.49941383352872215,False
-1.136744239988433,1.0,2016.0,-1.8091727176815455,-1.1490414834886047,48.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.568445475638051,-4.568445475638052,0.1160092807424594,0.00936768149882905,False
-1.120143615191941,0.01,2016.0,-1.7897904752211484,-1.0241948101928826,102.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.709090909090909,-2.709090909090909,0.3272727272727275,2.1902552204176335,False
-1.111768281731288,0.01,2016.0,-1.7863067464086622,-0.9634812113945649,220.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.936319481921209,-4.936319481921209,0.43173232595790606,0.34763636363636374,False
-1.0992697823909263,1.0,2016.0,-1.7506081256329555,-0.9038891639698844,170.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3093245084679777,-2.3093245084679777,0.4866653688923497,0.38613059902860214,False
-1.0066802238025478,0.01,2016.0,-1.7389752500844626,-0.3666987052598832,1080.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.790317510216912,-5.790317510216913,1.4146494812951946,2.096165076893129,False
-1.1217316274544114,4.9,2016.0,-1.6600449967462898,-1.086043646358875,144.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.605293888672635,-4.605293888672636,0.1557026080186843,-0.8384784658912292,False
-0.9209169802280065,4.9,2016.0,-1.6277700514820677,-0.17988446043715853,1045.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9955647319721646,-2.995564731972165,1.3802859983176607,9.180615025301675,False
-1.1292253572008828,9.9,2016.0,-1.5093685718993923,-1.1490414834886047,72.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.195804195804196,-3.195804195804196,0.05827505827505827,-0.9343886212434045,False
-1.1292253572008828,79.9,2016.0,-1.5093685718993923,-1.1490414834886047,72.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.195804195804196,-3.195804195804196,0.05827505827505827,0.0,False
-1.1291550001653239,0.0,2016.0,-1.5065909628924443,-1.1490414834886047,72.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.176334106728539,-3.1763341067285387,0.0580046403712297,0.004662004662004504,False
-1.1291550001653239,1.0,2016.0,-1.5065909628924443,-1.1490414834886047,106.0,6.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.148491879350349,-5.148491879350349,0.0580046403712297,0.0,False
-1.0616688566891896,4.9,2016.0,-1.447429921461993,-0.9038891639698844,325.0,6.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.430441207515305,-2.430441207515305,0.26388009288579267,4.495359628770302,False
-1.0608585238388488,0.01,2016.0,-1.4409345973179324,-0.9038891639698844,275.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.874163879598662,-1.874163879598662,0.2612876254180602,0.009921891492505885,False
-1.0543915134503814,64.5,2016.0,-1.3891601864798466,-0.9038891639698844,360.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.488710146332009,-2.488710146332009,0.2422715379397228,0.07849080267558528,False
-0.9567713952105842,1.0,2016.0,-1.2651185164153063,-0.6764654876191641,648.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.967576479208646,-1.967576479208646,0.3709470599010811,1.1160965209807152,False
-0.997771649686158,0.01,2016.0,-0.9412027686806909,-0.9038891639698844,275.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6217491301527394,-0.6217491301527394,0.14743173910479448,-0.22343835867374984,False
-1.1140966014667806,0.0,2016.0,-0.9251516259408431,-1.1490414834886047,72.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0930232558139537,-1.0930232558139537,0.029069767441860465,-0.7971339269918027,False
